aciertos,errores,tiempo_promedio,intentos,score,grado,operacion_recomendada,descripcion
20,8,5.68,5,25.16,6,division,"Excelente desempeño en division, puede avanzar."
16,1,45.28,2,7.859999999999999,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
6,19,53.63,2,-43.315,1,suma,"Bajo desempeño en suma, reforzar bases."
12,15,6.4,2,-1.7000000000000002,2,suma,"Bajo desempeño en suma, reforzar bases."
10,19,53.62,4,-35.31,1,suma,"Bajo desempeño en suma, reforzar bases."
10,14,45.62,4,-23.81,1,suma,"Bajo desempeño en suma, reforzar bases."
6,18,58.3,2,-44.15,1,suma,"Bajo desempeño en suma, reforzar bases."
8,7,43.72,1,-16.36,1,suma,"Bajo desempeño en suma, reforzar bases."
16,14,28.93,2,-3.465,2,suma,"Bajo desempeño en suma, reforzar bases."
0,6,14.45,3,-16.225,1,suma,"Bajo desempeño en suma, reforzar bases."
10,10,17.48,3,-3.74,2,suma,"Bajo desempeño en suma, reforzar bases."
12,10,23.43,3,-2.715,2,suma,"Bajo desempeño en suma, reforzar bases."
17,7,55.19,3,-4.094999999999999,2,suma,"Bajo desempeño en suma, reforzar bases."
10,15,19.28,1,-12.14,1,suma,"Bajo desempeño en suma, reforzar bases."
20,19,16.67,1,3.164999999999999,3,resta,"Desempeño regular en resta, practicar más."
15,15,13.41,4,0.7949999999999999,3,resta,"Desempeño regular en resta, practicar más."
2,15,17.52,4,-27.259999999999998,1,suma,"Bajo desempeño en suma, reforzar bases."
2,10,52.95,1,-37.475,1,suma,"Bajo desempeño en suma, reforzar bases."
14,8,52.25,5,-10.125,1,suma,"Bajo desempeño en suma, reforzar bases."
2,15,54.99,5,-45.995000000000005,1,suma,"Bajo desempeño en suma, reforzar bases."
18,12,54.9,5,-9.45,1,suma,"Bajo desempeño en suma, reforzar bases."
4,6,29.55,5,-15.775,1,suma,"Bajo desempeño en suma, reforzar bases."
18,15,49.77,5,-11.385000000000002,1,suma,"Bajo desempeño en suma, reforzar bases."
4,14,47.16,2,-36.58,1,suma,"Bajo desempeño en suma, reforzar bases."
4,18,31.94,4,-34.97,1,suma,"Bajo desempeño en suma, reforzar bases."
20,4,33.45,5,17.275,6,division,"Excelente desempeño en division, puede avanzar."
0,17,25.09,4,-38.045,1,suma,"Bajo desempeño en suma, reforzar bases."
15,2,38.3,3,7.850000000000001,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
2,5,13.23,5,-10.115,1,suma,"Bajo desempeño en suma, reforzar bases."
16,14,51.98,5,-14.989999999999998,1,suma,"Bajo desempeño en suma, reforzar bases."
15,13,42.67,5,-10.835,1,suma,"Bajo desempeño en suma, reforzar bases."
4,17,59.03,4,-47.015,1,suma,"Bajo desempeño en suma, reforzar bases."
4,15,45.18,3,-37.09,1,suma,"Bajo desempeño en suma, reforzar bases."
6,20,38.83,4,-37.415,1,suma,"Bajo desempeño en suma, reforzar bases."
18,9,39.77,1,2.6149999999999984,3,resta,"Desempeño regular en resta, practicar más."
10,19,15.07,2,-16.035,1,suma,"Bajo desempeño en suma, reforzar bases."
9,18,22.64,5,-20.32,1,suma,"Bajo desempeño en suma, reforzar bases."
10,8,56.97,3,-20.485,1,suma,"Bajo desempeño en suma, reforzar bases."
1,18,40.61,4,-45.305,1,suma,"Bajo desempeño en suma, reforzar bases."
4,1,16.71,5,-1.8550000000000004,2,suma,"Bajo desempeño en suma, reforzar bases."
16,18,20.32,1,-5.16,1,suma,"Bajo desempeño en suma, reforzar bases."
12,9,26.47,2,-2.7349999999999994,2,suma,"Bajo desempeño en suma, reforzar bases."
2,0,9.8,2,-0.9000000000000004,2,suma,"Bajo desempeño en suma, reforzar bases."
16,12,49.5,3,-10.75,1,suma,"Bajo desempeño en suma, reforzar bases."
20,14,41.73,1,-1.8649999999999984,2,suma,"Bajo desempeño en suma, reforzar bases."
6,19,17.4,3,-25.2,1,suma,"Bajo desempeño en suma, reforzar bases."
1,11,8.53,2,-18.765,1,suma,"Bajo desempeño en suma, reforzar bases."
9,0,48.24,5,-6.120000000000001,1,suma,"Bajo desempeño en suma, reforzar bases."
1,7,26.21,4,-21.605,1,suma,"Bajo desempeño en suma, reforzar bases."
14,8,15.35,2,8.325,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
3,11,42.64,2,-31.82,1,suma,"Bajo desempeño en suma, reforzar bases."
11,5,43.43,3,-7.215,1,suma,"Bajo desempeño en suma, reforzar bases."
15,7,58.36,5,-9.68,1,suma,"Bajo desempeño en suma, reforzar bases."
20,1,57.19,2,9.905000000000001,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
7,5,53.27,2,-20.135,1,suma,"Bajo desempeño en suma, reforzar bases."
14,4,30.72,2,6.640000000000001,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
7,18,53.8,1,-39.9,1,suma,"Bajo desempeño en suma, reforzar bases."
9,9,8.95,1,0.025000000000000355,3,resta,"Desempeño regular en resta, practicar más."
19,15,13.6,5,8.7,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
14,3,56.02,2,-4.510000000000002,2,suma,"Bajo desempeño en suma, reforzar bases."
20,15,11.55,5,11.725,5,division,"Excelente desempeño en division, puede avanzar."
18,16,39.16,3,-7.579999999999998,1,suma,"Bajo desempeño en suma, reforzar bases."
15,4,54.89,2,-3.4450000000000003,2,suma,"Bajo desempeño en suma, reforzar bases."
10,14,46.09,1,-24.045,1,suma,"Bajo desempeño en suma, reforzar bases."
1,4,11.96,5,-9.98,1,suma,"Bajo desempeño en suma, reforzar bases."
16,19,13.29,1,-3.1449999999999996,2,suma,"Bajo desempeño en suma, reforzar bases."
19,3,43.93,3,11.535,5,division,"Excelente desempeño en division, puede avanzar."
15,6,35.6,1,3.1999999999999993,3,resta,"Desempeño regular en resta, practicar más."
10,0,55.78,3,-7.890000000000001,1,suma,"Bajo desempeño en suma, reforzar bases."
19,8,34.21,3,8.895,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
11,10,53.48,2,-19.74,1,suma,"Bajo desempeño en suma, reforzar bases."
12,2,34.32,5,3.84,3,resta,"Desempeño regular en resta, practicar más."
15,5,6.28,4,19.36,6,division,"Excelente desempeño en division, puede avanzar."
10,12,9.96,5,-2.9800000000000004,2,suma,"Bajo desempeño en suma, reforzar bases."
9,19,57.4,5,-39.2,1,suma,"Bajo desempeño en suma, reforzar bases."
6,19,54.58,5,-43.79,1,suma,"Bajo desempeño en suma, reforzar bases."
15,3,45.46,4,2.7699999999999996,3,resta,"Desempeño regular en resta, practicar más."
15,6,40.31,4,0.8449999999999989,3,resta,"Desempeño regular en resta, practicar más."
10,14,8.52,5,-5.26,1,suma,"Bajo desempeño en suma, reforzar bases."
6,4,29.1,3,-8.55,1,suma,"Bajo desempeño en suma, reforzar bases."
6,9,11.99,2,-7.495,1,suma,"Bajo desempeño en suma, reforzar bases."
7,7,57.37,4,-25.185,1,suma,"Bajo desempeño en suma, reforzar bases."
1,11,51.71,5,-40.355000000000004,1,suma,"Bajo desempeño en suma, reforzar bases."
0,20,10.0,1,-35.0,1,suma,"Bajo desempeño en suma, reforzar bases."
11,17,9.39,5,-8.195,1,suma,"Bajo desempeño en suma, reforzar bases."
15,5,53.36,2,-4.18,2,suma,"Bajo desempeño en suma, reforzar bases."
11,12,47.54,5,-19.77,1,suma,"Bajo desempeño en suma, reforzar bases."
9,11,29.8,5,-13.4,1,suma,"Bajo desempeño en suma, reforzar bases."
0,1,58.08,4,-30.54,1,suma,"Bajo desempeño en suma, reforzar bases."
3,7,29.84,3,-19.42,1,suma,"Bajo desempeño en suma, reforzar bases."
3,6,11.02,1,-8.51,1,suma,"Bajo desempeño en suma, reforzar bases."
6,20,30.14,3,-33.07,1,suma,"Bajo desempeño en suma, reforzar bases."
11,11,45.11,5,-17.055,1,suma,"Bajo desempeño en suma, reforzar bases."
11,16,56.65,4,-30.325,1,suma,"Bajo desempeño en suma, reforzar bases."
18,1,42.75,1,13.125,5,division,"Excelente desempeño en division, puede avanzar."
20,10,45.72,3,2.1400000000000006,3,resta,"Desempeño regular en resta, practicar más."
9,17,53.74,1,-34.370000000000005,1,suma,"Bajo desempeño en suma, reforzar bases."
6,4,53.45,4,-20.725,1,suma,"Bajo desempeño en suma, reforzar bases."
8,17,56.1,4,-37.55,1,suma,"Bajo desempeño en suma, reforzar bases."
5,4,42.86,1,-17.43,1,suma,"Bajo desempeño en suma, reforzar bases."
7,8,34.79,4,-15.395,1,suma,"Bajo desempeño en suma, reforzar bases."
7,6,37.6,5,-13.8,1,suma,"Bajo desempeño en suma, reforzar bases."
12,12,30.02,1,-9.01,1,suma,"Bajo desempeño en suma, reforzar bases."
9,14,21.2,1,-13.6,1,suma,"Bajo desempeño en suma, reforzar bases."
18,17,39.43,5,-9.215,1,suma,"Bajo desempeño en suma, reforzar bases."
12,14,33.38,4,-13.690000000000001,1,suma,"Bajo desempeño en suma, reforzar bases."
19,5,46.02,1,7.489999999999998,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
15,14,58.67,3,-20.335,1,suma,"Bajo desempeño en suma, reforzar bases."
4,8,49.79,5,-28.895,1,suma,"Bajo desempeño en suma, reforzar bases."
9,7,10.26,1,2.37,3,resta,"Desempeño regular en resta, practicar más."
16,11,50.98,3,-9.989999999999998,1,suma,"Bajo desempeño en suma, reforzar bases."
5,5,15.21,4,-5.105,1,suma,"Bajo desempeño en suma, reforzar bases."
14,3,49.1,3,-1.0500000000000007,2,suma,"Bajo desempeño en suma, reforzar bases."
16,3,8.77,4,23.115000000000002,6,division,"Excelente desempeño en division, puede avanzar."
14,5,44.97,2,-1.9849999999999994,2,suma,"Bajo desempeño en suma, reforzar bases."
10,13,43.37,1,-21.185,1,suma,"Bajo desempeño en suma, reforzar bases."
4,14,35.15,2,-30.575,1,suma,"Bajo desempeño en suma, reforzar bases."
10,20,19.37,1,-19.685000000000002,1,suma,"Bajo desempeño en suma, reforzar bases."
14,1,54.1,3,-0.5500000000000007,2,suma,"Bajo desempeño en suma, reforzar bases."
7,10,50.29,2,-26.145,1,suma,"Bajo desempeño en suma, reforzar bases."
20,18,8.1,3,8.95,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
4,16,33.53,2,-32.765,1,suma,"Bajo desempeño en suma, reforzar bases."
18,20,59.45,2,-23.725,1,suma,"Bajo desempeño en suma, reforzar bases."
7,9,17.42,1,-8.21,1,suma,"Bajo desempeño en suma, reforzar bases."
5,18,42.67,3,-38.335,1,suma,"Bajo desempeño en suma, reforzar bases."
0,10,13.34,1,-21.67,1,suma,"Bajo desempeño en suma, reforzar bases."
7,2,41.56,4,-9.780000000000001,1,suma,"Bajo desempeño en suma, reforzar bases."
9,15,36.46,1,-22.73,1,suma,"Bajo desempeño en suma, reforzar bases."
14,1,19.35,3,16.825,6,division,"Excelente desempeño en division, puede avanzar."
13,7,24.83,5,3.085000000000001,3,resta,"Desempeño regular en resta, practicar más."
15,0,6.97,4,26.515,6,division,"Excelente desempeño en division, puede avanzar."
8,16,44.79,1,-30.395,1,suma,"Bajo desempeño en suma, reforzar bases."
12,17,16.97,5,-9.985,1,suma,"Bajo desempeño en suma, reforzar bases."
4,16,51.17,4,-41.585,1,suma,"Bajo desempeño en suma, reforzar bases."
2,7,18.9,3,-15.95,1,suma,"Bajo desempeño en suma, reforzar bases."
20,12,15.36,2,14.32,5,division,"Excelente desempeño en division, puede avanzar."
17,0,55.44,5,6.280000000000001,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
0,18,20.4,3,-37.2,1,suma,"Bajo desempeño en suma, reforzar bases."
7,4,7.33,2,4.335,3,resta,"Desempeño regular en resta, practicar más."
10,17,5.64,4,-8.32,1,suma,"Bajo desempeño en suma, reforzar bases."
12,1,21.2,3,11.9,5,division,"Excelente desempeño en division, puede avanzar."
16,18,51.33,4,-20.665,1,suma,"Bajo desempeño en suma, reforzar bases."
2,0,55.67,3,-23.835,1,suma,"Bajo desempeño en suma, reforzar bases."
7,15,42.94,1,-29.97,1,suma,"Bajo desempeño en suma, reforzar bases."
8,18,22.43,1,-22.215,1,suma,"Bajo desempeño en suma, reforzar bases."
10,20,15.13,2,-17.565,1,suma,"Bajo desempeño en suma, reforzar bases."
2,8,53.41,1,-34.705,1,suma,"Bajo desempeño en suma, reforzar bases."
18,8,43.11,4,2.4450000000000003,3,resta,"Desempeño regular en resta, practicar más."
19,7,27.63,1,13.685,5,division,"Excelente desempeño en division, puede avanzar."
18,9,53.98,5,-4.489999999999998,2,suma,"Bajo desempeño en suma, reforzar bases."
16,0,21.63,1,21.185000000000002,6,division,"Excelente desempeño en division, puede avanzar."
13,10,28.82,5,-3.41,2,suma,"Bajo desempeño en suma, reforzar bases."
9,10,8.86,5,-1.4299999999999997,2,suma,"Bajo desempeño en suma, reforzar bases."
12,20,8.91,3,-10.455,1,suma,"Bajo desempeño en suma, reforzar bases."
16,8,22.14,5,8.93,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
12,4,36.35,1,-0.1750000000000007,2,suma,"Bajo desempeño en suma, reforzar bases."
1,17,7.61,2,-27.305,1,suma,"Bajo desempeño en suma, reforzar bases."
11,5,56.62,1,-13.809999999999999,1,suma,"Bajo desempeño en suma, reforzar bases."
8,12,14.21,1,-9.105,1,suma,"Bajo desempeño en suma, reforzar bases."
9,10,56.52,2,-25.26,1,suma,"Bajo desempeño en suma, reforzar bases."
16,4,50.46,1,0.7699999999999996,3,resta,"Desempeño regular en resta, practicar más."
1,5,8.96,4,-9.98,1,suma,"Bajo desempeño en suma, reforzar bases."
7,1,55.92,1,-15.46,1,suma,"Bajo desempeño en suma, reforzar bases."
4,15,5.98,2,-17.490000000000002,1,suma,"Bajo desempeño en suma, reforzar bases."
18,6,54.27,4,-0.13500000000000156,2,suma,"Bajo desempeño en suma, reforzar bases."
14,5,19.5,5,10.75,5,division,"Excelente desempeño en division, puede avanzar."
0,18,36.69,4,-45.345,1,suma,"Bajo desempeño en suma, reforzar bases."
14,17,15.62,3,-5.31,1,suma,"Bajo desempeño en suma, reforzar bases."
20,12,39.83,4,2.085000000000001,3,resta,"Desempeño regular en resta, practicar más."
1,5,53.6,5,-32.3,1,suma,"Bajo desempeño en suma, reforzar bases."
12,12,58.7,5,-23.35,1,suma,"Bajo desempeño en suma, reforzar bases."
9,1,54.87,4,-10.934999999999999,1,suma,"Bajo desempeño en suma, reforzar bases."
5,12,47.77,2,-31.885,1,suma,"Bajo desempeño en suma, reforzar bases."
12,15,33.89,3,-15.445,1,suma,"Bajo desempeño en suma, reforzar bases."
7,18,56.95,1,-41.475,1,suma,"Bajo desempeño en suma, reforzar bases."
19,10,5.41,5,20.295,6,division,"Excelente desempeño en division, puede avanzar."
0,9,21.99,2,-24.494999999999997,1,suma,"Bajo desempeño en suma, reforzar bases."
0,6,29.89,4,-23.945,1,suma,"Bajo desempeño en suma, reforzar bases."
20,11,56.43,5,-4.715,2,suma,"Bajo desempeño en suma, reforzar bases."
7,19,57.12,3,-43.06,1,suma,"Bajo desempeño en suma, reforzar bases."
10,14,25.29,3,-13.645,1,suma,"Bajo desempeño en suma, reforzar bases."
11,20,23.83,3,-19.915,1,suma,"Bajo desempeño en suma, reforzar bases."
4,4,11.47,5,-3.7350000000000003,2,suma,"Bajo desempeño en suma, reforzar bases."
12,7,10.82,2,8.09,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
18,4,47.07,1,6.465,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
2,9,51.35,1,-35.175,1,suma,"Bajo desempeño en suma, reforzar bases."
20,14,31.63,3,3.1850000000000005,3,resta,"Desempeño regular en resta, practicar más."
9,19,53.16,3,-37.08,1,suma,"Bajo desempeño en suma, reforzar bases."
8,10,18.46,1,-8.23,1,suma,"Bajo desempeño en suma, reforzar bases."
16,17,16.94,4,-1.9700000000000006,2,suma,"Bajo desempeño en suma, reforzar bases."
7,3,50.46,2,-15.73,1,suma,"Bajo desempeño en suma, reforzar bases."
11,0,29.58,4,7.210000000000001,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
2,19,13.01,4,-31.005,1,suma,"Bajo desempeño en suma, reforzar bases."
4,17,26.93,3,-30.965,1,suma,"Bajo desempeño en suma, reforzar bases."
0,7,7.38,4,-14.19,1,suma,"Bajo desempeño en suma, reforzar bases."
10,7,16.81,1,1.0950000000000006,3,resta,"Desempeño regular en resta, practicar más."
15,19,15.14,5,-6.07,1,suma,"Bajo desempeño en suma, reforzar bases."
1,10,17.93,5,-21.965,1,suma,"Bajo desempeño en suma, reforzar bases."
9,14,24.14,3,-15.07,1,suma,"Bajo desempeño en suma, reforzar bases."
17,0,53.27,4,7.364999999999998,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
7,6,36.08,2,-13.04,1,suma,"Bajo desempeño en suma, reforzar bases."
9,14,20.25,1,-13.125,1,suma,"Bajo desempeño en suma, reforzar bases."
4,17,9.29,2,-22.145,1,suma,"Bajo desempeño en suma, reforzar bases."
13,1,58.18,5,-4.59,2,suma,"Bajo desempeño en suma, reforzar bases."
20,13,48.8,5,-3.8999999999999986,2,suma,"Bajo desempeño en suma, reforzar bases."
3,6,36.22,1,-21.11,1,suma,"Bajo desempeño en suma, reforzar bases."
11,0,41.41,2,1.2950000000000017,3,resta,"Desempeño regular en resta, practicar más."
11,14,36.82,1,-17.41,1,suma,"Bajo desempeño en suma, reforzar bases."
17,0,14.22,3,26.89,6,division,"Excelente desempeño en division, puede avanzar."
11,11,7.06,3,1.9700000000000002,3,resta,"Desempeño regular en resta, practicar más."
10,8,53.26,2,-18.63,1,suma,"Bajo desempeño en suma, reforzar bases."
10,15,49.08,3,-27.04,1,suma,"Bajo desempeño en suma, reforzar bases."
5,11,14.11,3,-13.555,1,suma,"Bajo desempeño en suma, reforzar bases."
1,5,42.08,4,-26.54,1,suma,"Bajo desempeño en suma, reforzar bases."
20,0,51.59,1,14.204999999999998,5,division,"Excelente desempeño en division, puede avanzar."
1,2,18.98,3,-10.49,1,suma,"Bajo desempeño en suma, reforzar bases."
5,18,49.79,2,-41.894999999999996,1,suma,"Bajo desempeño en suma, reforzar bases."
5,17,39.33,4,-35.165,1,suma,"Bajo desempeño en suma, reforzar bases."
18,19,10.88,3,2.0599999999999996,3,resta,"Desempeño regular en resta, practicar más."
19,12,40.6,2,-0.3000000000000007,2,suma,"Bajo desempeño en suma, reforzar bases."
15,15,9.2,1,2.9000000000000004,3,resta,"Desempeño regular en resta, practicar más."
4,4,42.49,2,-19.245,1,suma,"Bajo desempeño en suma, reforzar bases."
18,5,59.47,1,-1.2349999999999994,2,suma,"Bajo desempeño en suma, reforzar bases."
1,18,9.34,1,-29.67,1,suma,"Bajo desempeño en suma, reforzar bases."
9,11,34.83,2,-15.915,1,suma,"Bajo desempeño en suma, reforzar bases."
18,15,30.18,3,-1.5899999999999999,2,suma,"Bajo desempeño en suma, reforzar bases."
10,18,42.05,3,-28.025,1,suma,"Bajo desempeño en suma, reforzar bases."
11,3,23.53,4,5.734999999999999,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
11,1,50.73,4,-4.864999999999998,2,suma,"Bajo desempeño en suma, reforzar bases."
7,9,9.19,4,-4.095,2,suma,"Bajo desempeño en suma, reforzar bases."
18,13,45.65,2,-6.324999999999999,1,suma,"Bajo desempeño en suma, reforzar bases."
3,10,40.69,2,-29.345,1,suma,"Bajo desempeño en suma, reforzar bases."
4,15,35.64,2,-32.32,1,suma,"Bajo desempeño en suma, reforzar bases."
1,10,32.3,3,-29.15,1,suma,"Bajo desempeño en suma, reforzar bases."
8,6,27.58,3,-6.789999999999999,1,suma,"Bajo desempeño en suma, reforzar bases."
5,18,52.98,5,-43.489999999999995,1,suma,"Bajo desempeño en suma, reforzar bases."
17,6,5.84,3,22.08,6,division,"Excelente desempeño en division, puede avanzar."
